Time,Angle
1716894004.4359198,-15.610693576075114
1716894004.4430916,-15.530775407987917
1716894004.4500558,-15.473188011931677
1716894004.4580615,-15.400787990511363
1716894004.4580615,-15.314411150961401
1716894004.4740264,-15.250692288994651
1716894004.4762688,-15.208418498468676
1716894004.4762688,-15.150494807861108
1716894004.490887,-15.077802802583907
1716894004.4963758,-14.991175169853594
1716894004.5054603,-14.92719400048268
1716894004.5095356,-14.848800936808347
1716894004.5095356,-14.75680848954706
1716894004.5215416,-14.651984063977158
1716894004.5307527,-14.570752622102669
1716894004.5387018,-14.4761008416064
1716894004.5422049,-14.368785664834213
1716894004.553712,-14.249521981895885
1716894004.553712,-14.154595053624988
1716894004.553712,-14.0470422890031
1716894004.5693452,-13.927575865396674
1716894004.5693452,-13.796868369422809
1716894004.584971,-13.655554968185191
1716894004.584971,-13.504235461556837
1716894004.6006336,-13.343476222019174
1716894004.6032557,-13.209219688805081
1716894004.610195,-13.100036107164255
1716894004.6170208,-13.01457452770165
1716894004.623463,-12.916033212635927
1716894004.632472,-12.84063203150565
1716894004.6382048,-12.751601060302386
1716894004.6422122,-12.649705430459663
1716894004.6482172,-12.535667806480351
1716894004.6587272,-12.410170713724217
1716894004.6642315,-12.273858738699287
1716894004.6642315,-12.162676113743485
1716894004.6799557,-12.075266923725755
1716894004.6845758,-11.974942349504946
1716894004.6911266,-11.862426580082099
1716894004.6977818,-11.738403593093894
1716894004.6977818,-11.638820631693601
1716894004.7117538,-11.562358853543298
1716894004.71903,-11.472401176618723
1716894004.72755,-11.369702913508519
1716894004.7328312,-11.290278742063887
1716894004.7421882,-11.232873567638032
1716894004.7442255,-11.160930570478934
1716894004.7442255,-11.075262030594612
1716894004.7600298,-10.976635205475633
1716894004.7653613,-10.901043054810557
1716894004.774704,-10.847242963209675
1716894004.7806423,-10.814060866481446
1716894004.78652,-10.765016544971312
1716894004.7938955,-10.736330195568359
1716894004.7976587,-10.72690677927076
1716894004.807748,-10.70030408960741
1716894004.8132775,-10.657479444647954
1716894004.8218179,-10.634672709625688
1716894004.8281097,-10.595436474660591
1716894004.8377423,-10.576021952534724
1716894004.8447578,-10.575363424338525
1716894004.8505857,-10.592454061204965
1716894004.8551672,-10.590897103888471
1716894004.8617227,-10.607138433442438
1716894004.872816,-10.60477860487575
1716894004.8762634,-10.584853299745747
1716894004.885979,-10.583711915717405
1716894004.8929815,-10.600346096999488
1716894004.901761,-10.633803247177266
1716894004.9055462,-10.683183486455352
1716894004.9124873,-10.712111484323474
1716894004.9217162,-10.75721020368084
1716894004.9309916,-10.782090774662379
1716894004.9347963,-10.823363361079673
1716894004.9422534,-10.880152284942561
1716894004.95162,-10.951630391839343
1716894004.9553037,-11.001406287860165
1716894004.9655354,-11.066254805739515
1716894004.9706466,-11.145373703608788
1716894004.9815562,-11.202350771677416
1716894004.98499,-11.238418476326196
1716894004.9915884,-11.290308301182277
1716894005.003262,-11.321566908749107
1716894005.006517,-11.368910574953565
1716894005.013706,-11.431481702725655
1716894005.0209723,-11.472815753631101
1716894005.0302858,-11.49409572648699
1716894005.0329096,-11.4964392870957
1716894005.0458095,-11.480902346944815
1716894005.0501986,-11.483967258453381
1716894005.0571258,-11.504637520354425
1716894005.063854,-11.506404706087537
1716894005.0716152,-11.490322904482904
1716894005.0823483,-11.49287274495637
1716894005.0896466,-11.477530806273709
1716894005.0937488,-11.480780057502756
1716894005.1040013,-11.501624580309915
1716894005.109507,-11.503556499196149
1716894005.1188738,-11.487630423923614
1716894005.1251545,-11.454842663905092
1716894005.1319532,-11.406134421916336
1716894005.1424305,-11.34239481296234
1716894005.1476321,-11.2998346817139
1716894005.156766,-11.241907034206493
1716894005.164295,-11.169470130295366
1716894005.1728437,-11.08333468811825
1716894005.1805887,-10.984266488691022
1716894005.1885026,-10.908257095954129
1716894005.1980398,-10.818761302008626
1716894005.2043438,-10.75180094139897
1716894005.2133245,-10.70616069485231
1716894005.2211025,-10.645356796962215
1716894005.229728,-10.605536407195107
1716894005.2361085,-10.550234164147634
1716894005.2424948,-10.480313351972473
1716894005.25251,-10.43185770674163
1716894005.2573028,-10.403710426230303
1716894005.2678144,-10.394778567558381
1716894005.27707,-10.368658597057365
1716894005.2838137,-10.361643204779414
1716894005.2861302,-10.33733491745489
1716894005.2994757,-10.332032154181187
1716894005.3086047,-10.34471382134851
1716894005.3154757,-10.339007614897373
1716894005.319733,-10.351307897230853
1716894005.3313394,-10.345241158244725
1716894005.333826,-10.357200620238086
1716894005.3429878,-10.35081169533816
1716894005.3490257,-10.36246658700273
1716894005.3589363,-10.355789744223074
1716894005.3678036,-10.331801496129293
1716894005.3767931,-10.326801273871691
1716894005.384674,-10.33976894055917
1716894005.3889549,-10.334333096542135
1716894005.3979883,-10.346888959184751
1716894005.4077873,-10.376471487192934
1716894005.4126072,-10.422169030419541
1716894005.422871,-10.447635604137712
1716894005.4302063,-10.453996627501384
1716894005.4389694,-10.442315359823134
1716894005.445337,-10.448967268703402
1716894005.4541605,-10.437560982312776
1716894005.4608445,-10.409101873967481
1716894005.4693048,-10.36453973180571
1716894005.478085,-10.304771803161238
1716894005.483743,-10.230645672275639
1716894005.489609,-10.178198430496764
1716894005.497248,-10.14626098439522
1716894005.5065348,-10.1337287668783
1716894005.5145116,-10.104222709320144
1716894005.523928,-10.05868767057452
1716894005.5311546,-10.033284501299976
1716894005.536777,-9.991628024527488
1716894005.5458844,-9.93462309793828
1716894005.5535703,-9.898360954882062
1716894005.5609338,-9.88172368370556
1716894005.5682235,-9.883655100717432
1716894005.5744455,-9.867821875320171
1716894005.581864,-9.835212103659238
1716894005.5883286,-9.786759251609327
1716894005.5954134,-9.723345146523355
1716894005.602407,-9.681008644718357
1716894005.6099093,-9.658612927126635
1716894005.6153293,-9.65508393158239
1716894005.6233175,-9.66940692640147
1716894005.632078,-9.700623271506664
1716894005.6397262,-9.712456392997373
1716894005.6467776,-9.705983494230075
1716894005.6545782,-9.682222271302027
1716894005.660639,-9.677402429723113
1716894005.6678872,-9.655203882721654
1716894005.6753273,-9.651861277422707
1716894005.682233,-9.63105919848588
1716894005.6893895,-9.593768450988788
